comment_id,video_id,comment_text,like_count,timestamp,user_id,user_unique_id,reply_count,comment_hash,text_length,has_emoji,has_mention,has_hashtag,is_reply,parent_comment_id
7509057930827842320,7509002805806517511,Ê bớt Thanh Thủy lại đi ê,1199,2025-05-27 16:40:02,7009116234596729883,chunchipp_oii,2,43efb1cb3d7e64807928d8d2852a5fa6,25,False,False,False,False,
7509061181408297736,7509002805806517511,ui mng ơi mình hỏi day2 thì là cái cj gây tranh cãi hay là cj yên đan tiếp v ạ,129,2025-05-27 16:52:34,7439592771361833992,cobehuongngoai_05,6,137020ccb1c6a0bc09f99b837052d42d,78,False,False,False,False,
7509085596214035221,7509002805806517511,rồi mắc gì lôi Thanh Thủy của t vô?,584,2025-05-27 18:27:28,7078997708602278913,th5_oh,1,0e2b9a716638a634774dc0b432e34f65,35,False,False,False,False,
7509144869488263954,7509002805806517511,Rồi mắc j lôi Thanh Thuỷ vào vậy,3,2025-05-27 22:17:20,7117280766081532930,tuongvyannie2244,0,9299ecb8fae80dc0cae218a10fda6c06,32,False,False,False,False,
7509078972820538113,7509002805806517511,Nma YĐ bả nhỏ nhỏ xinh xinh trông như dc che chở nhìn nó hợp mắt hơn:)) kh bị dìm Soobin nữa,493,2025-05-27 18:01:48,6977459828496450562,tama246642,9,5383ba42e5611b7702875d96746659f0,92,False,False,False,False,
7509210388576191239,7509002805806517511,"Tha cho thanh thủy đi, có vậy cũng nhắc đến ngta",2,2025-05-28 02:31:37,7117139106497561602,nho259,0,98d0a45d10906b96cb7a8a99808ebc8a,48,False,False,False,False,
7509075314187174664,7509002805806517511,ủa nma chánh cung là danh hiệu của hhvn mà ai thay đc hả tr😂,6,2025-05-27 17:47:27,7297165856659473426,yeuylee,1,7b0cb5f30d1cd2545eb7b290ee4515eb,60,True,False,False,False,
7509132274479923975,7509002805806517511,"ủa mẹ..ngta là HH,còn có công việc riêng,làm gì có chuyện xoay quanh mãi Soobin được??",0,2025-05-27 21:28:27,7301886662925583361,bt.chuche6,0,4c04ed2c1f4e6c3e143352652c13c503,86,False,False,False,False,
7509081661679944455,7509002805806517511,Sao e vẫn thích chị Thủy hơn mãi không thay thế đc,18,2025-05-27 18:12:10,6624779899344142338,heogiang26795,0,f43207199eecfd355c2199fe27ec05e4,50,False,False,False,False,
7509085099251565330,7509002805806517511,Tui con gái tui còn mê Yên Đan nuaa,17,2025-05-27 18:25:27,7350950937068651522,12th05_07,0,a4adbb24f60ec44080c4f62b76e61d8d,35,False,False,False,False,
